titles,category
 제재 해야 하는데 원유는 필요하고    러시아 원유가격 상한제 표류,World
 축구 양보 못해   첫 상대 우루과이 어떤 나라 ,World
 동성애 혐의 로 수감 석방 반복 안와르  우여곡절 끝 말레이 총리됐다,World
아이폰 생산기지   폭스콘 시위 거세지자  공장 떠나면 돈 지급 ,World
 번호판 갈등  코소보 세르비아     중재속에 합의 도달 종합 ,World
가시밭길 걸어온 안와르  드디어 말레이시아 총리 됐다,World
코로나 잡으려다 홍역 유행 초비상 영유아 백신 접종률 최저치 종합 ,World
스위스  러  유가 상한제  동참 무기수출은 우크라에도 금지,World
파란만장 도전 끝 총리 오른 안와르 말레이 안정 개혁 이룰까,World
   내달 금리      만 올릴 듯 캐나다 호주도 속도 늦춘다,World
파키스탄  정계 실세  육군참모총장에 무니르 중장 낙점,World
   침체 먹구름   국제유가    대로  뚝 ,World
겨울인데 우크라 전력망 초토화     러 테러지원국 지정,World
  비야디  전기차값 최대    만원 인상 테슬라와 정반대,World
 피플  포커스     년을 기다렸다  안와르 이브라힘 말레이 신임 총리,World
튀르키예  시리아 쿠르드민병대 소탕작전에 지상군 투입 예고  미 러도 못말려 ,World
 영상   푸틴  헤르손 철수 후 생명 위협 느낄 만큼 타격 패하면 종말 ,World
 한방에   억  미국서 세계 최고가 약 허가  형 혈우병 신약,World
 러시아의 구글  얀덱스   푸틴과 관계 개선 위해 최측근 영입 ,World
 고작 영화 한 편 상영이 정상회담 성과   중국 불법 시청은 그냥 두더니  핀잔만 들었다  인사이드 차이나 ,World
봉쇄 푸나   집중한   기업들 웃는다,World
러 무차별 공습에 우크라 전 지역 정전    추가 군사지원,World
유럽서도 흔들리는 화웨이 입지 조직도 축소,World
  는 우루과이 승리 예측 박지성  한 골 차 한국 승리 ,World
 일문일답     우크라 지원 감사   제 건국  복구사업 함께하자 ,World
우크라부의장  북러  모종의 협력    군사지원 가능성 배제못해 ,World
 우린 문밖에도 못나가는데   노마스크  월드컵 본 중국인 분노,World
한국  오늘 밤 우루과이와  차전 손흥민 출전할까 ,World
역전패에 분노한 호주팬  프랑스팬 향해 분풀이,World
 예상밖 선방      최악 침체  내년 세계경제 놓고  갑론을박 ,World
  긴축   코로나    에너지 위기 재부상   의 공포 ,World
    러 우크라서 화학무기 사용 우려 대비 태세 강화 ,World
   최후의 보루  뚫렸다  베이징  봉쇄 공포에 사재기 봇물,World
 푸틴  생명위협 느낄 만큼 떨고 있다  헤르손 내준 러시아는 지금,World
 투자 귀재  워런 버핏  대만      사고       팔고,World
 포착  뼈대만 남았다 러  미사일에 잿더미 된 우크라 수도,World
대만 국방부   군함  대만 동부해역서 대잠수함전 훈련 ,World
열 빛 물 끊기는 우크라  러  유럽 난민위기 유발 의도 ,World
